easy03b
trial 0	V	0.156355142593	8	792.905868558	0
trial 0	RRT	0.000201940536499	14	1142.81781903	0
trial 1	RRT	0.000101089477539	4	929.152018794	0
trial 2	RRT	0.000231027603149	21	1154.86034276	0
trial 3	RRT	0.000239133834839	58	2293.56477474	0
trial 4	RRT	0.000163793563843	12	828.013683388	0
trial 5	RRT	0.00012993812561	5	806.170915834	0
trial 6	RRT	0.000250101089478	13	895.94376102	0
trial 7	RRT	0.000194072723389	25	846.046844502	0
trial 8	RRT	0.000341892242432	58	2507.87601175	0
trial 9	RRT	0.0001540184021	12	1560.98077517	0
trial 10	RRT	0.000410079956055	50	2585.3897781	0
trial 11	RRT	0.000268220901489	23	1007.24714745	0
trial 12	RRT	0.000164031982422	10	812.033051053	0
trial 13	RRT	0.000112056732178	3	834.95832185	0
trial 14	RRT	0.000150918960571	27	2141.47877686	0
trial 15	RRT	0.000156879425049	10	977.675963895	0
trial 16	RRT	0.000284910202026	6	812.90623089	0
trial 17	RRT	0.000148057937622	12	887.736308066	0
trial 18	RRT	2.78949737549e-05	43	0	1
trial 19	RRT	0.000230073928833	28	1118.23895276	0
trial 20	RRT	3.88622283936e-05	38	0	1
trial 21	RRT	0.000187873840332	4	920.506338733	0
trial 22	RRT	2.67028808594e-05	35	0	1
trial 23	RRT	6.12735748291e-05	34	0	1
trial 24	RRT	3.2901763916e-05	32	0	1
trial 25	RRT	4.26769256592e-05	30	0	1
trial 26	RRT	0.000216007232666	25	2060.52110427	0
trial 27	RRT	0.000231266021729	24	917.848142273	0
trial 28	RRT	4.29153442383e-05	27	0	1
trial 29	RRT	0.000309228897095	8	871.305064559	0
trial 30	RRT	0.000172853469849	17	1098.68973951	0
trial 31	RRT	0.0001540184021	21	995.74044294	0
trial 32	RRT	3.71932983398e-05	25	0	1
trial 33	RRT	3.60012054443e-05	24	0	1
trial 34	RRT	0.000235080718994	13	1117.85475019	0
trial 35	RRT	2.88486480713e-05	24	0	1
trial 36	RRT	3.71932983398e-05	23	0	1
trial 37	RRT	3.38554382324e-05	22	0	1
trial 38	RRT	0.000231027603149	17	936.474922832	0
trial 39	RRT	3.07559967041e-05	22	0	1
trial 40	RRT	2.98023223877e-05	21	0	1
trial 41	RRT	2.8133392334e-05	21	0	1
trial 42	RRT	3.19480895996e-05	21	0	1
trial 43	RRT	3.12328338623e-05	20	0	1
trial 44	RRT	3.981590271e-05	20	0	1
trial 45	RRT	3.81469726562e-05	20	0	1
trial 46	RRT	0.000135660171509	17	820.055300927	0
trial 47	RRT	3.19480895996e-05	19	0	1
trial 48	RRT	0.000125169754028	9	808.352226253	0
trial 49	RRT	3.91006469727e-05	19	0	1
trial 0	PRM	0.251883983612	119	2991.08410589	0
trial 1	PRM	0.216232061386	119	2337.5963805	0
trial 2	PRM	0.238119840622	120	1394.3585281	0
trial 3	PRM	0.224545955658	119	3024.68963023	0
trial 4	PRM	0.241462945938	123	3076.01267388	0
trial 5	PRM	0.226925134659	116	3087.86482114	0
trial 6	PRM	0.267459869385	134	1115.48293019	0
trial 7	PRM	0.214834928513	112	2737.50165272	0
trial 8	PRM	0.210024118423	120	2952.39167301	0
trial 9	PRM	0.268130779266	132	2705.60476397	0
trial 10	PRM	0.264106988907	138	2475.31924659	0
trial 11	PRM	0.240766763687	121	2034.72047275	0
trial 12	PRM	0.230619907379	122	2414.87136101	0
trial 13	PRM	0.235771894455	120	2907.86713033	0
trial 14	PRM	0.224487781525	120	1287.2607896	0
trial 15	PRM	0.260383844376	117	2074.06067581	0
trial 16	PRM	0.268687963486	118	1224.25686293	0
trial 17	PRM	0.19233083725	111	1955.82440506	0
trial 18	PRM	0.221305131912	119	1304.04529309	0
trial 19	PRM	0.248653888702	118	2491.96100507	0
trial 20	PRM	0.25599193573	120	2212.30583631	0
trial 21	PRM	0.231738328934	122	1967.63738458	0
trial 22	PRM	0.229565143585	120	2116.17030214	0
trial 23	PRM	0.21263384819	122	1987.09121229	0
trial 24	PRM	0.321068763733	129	2251.29057567	0
trial 25	PRM	0.261300802231	128	3004.73256673	0
trial 26	PRM	0.227322101593	119	1156.40362202	0
trial 27	PRM	0.234096050262	118	3134.46347672	0
trial 28	PRM	0.261279821396	121	2194.36645588	0
trial 29	PRM	0.251957178116	119	2060.68733502	0
trial 30	PRM	0.213825941086	112	1169.01651673	0
trial 31	PRM	0.235883951187	123	947.605007769	0
trial 32	PRM	0.251106977463	133	1784.7764929	0
trial 33	PRM	0.34370303154	134	2209.04384844	0
trial 34	PRM	0.298110961914	118	888.148099417	0
trial 35	PRM	0.231580972672	118	2630.15106751	0
trial 36	PRM	0.242018699646	117	3173.98704263	0
trial 37	PRM	0.254855871201	123	2462.381773	0
trial 38	PRM	0.315738916397	133	1256.50480038	0
trial 39	PRM	0.317262887955	123	1591.31088032	0
trial 40	PRM	0.253067016602	119	2989.22822207	0
trial 41	PRM	0.306011915207	144	2609.84857686	0
trial 42	PRM	0.286193132401	132	1432.43342505	0
trial 43	PRM	0.305297851562	134	2119.34864801	0
trial 44	PRM	0.254791975021	122	2297.80407301	0
trial 45	PRM	0.231161832809	123	3040.89904136	0
trial 46	PRM	0.237287998199	117	2256.37952912	0
trial 47	PRM	0.242364168167	120	2066.5055512	0
trial 48	PRM	0.23478102684	116	2129.55856138	0
trial 49	PRM	0.243927955627	123	3328.04352716	0
trial 0	VRRT	0.00163316726685	5	825.621404999	0
trial 1	VRRT	0.00162315368652	23	2037.5685366	0
trial 2	VRRT	0.00161981582642	8	899.908020613	0
