medium04a
trial 0	V	0.235158205032	16	765.17215213	0
trial 0	RRT	0.000166177749634	45	901.004405905	0
trial 1	RRT	0.000137090682983	13	890.375447924	0
trial 2	RRT	3.02791595459e-05	91	0	1
trial 3	RRT	0.000201225280762	41	969.298181548	0
trial 4	RRT	3.79085540771e-05	63	0	1
trial 5	RRT	0.000205993652344	43	989.947780422	0
trial 6	RRT	4.02927398682e-05	49	0	1
trial 7	RRT	4.29153442383e-05	42	0	1
trial 8	RRT	3.88622283936e-05	39	0	1
trial 9	RRT	4.00543212891e-05	38	0	1
trial 10	RRT	5.79357147217e-05	35	0	1
trial 11	RRT	0.000200748443604	28	940.14720698	0
trial 12	RRT	3.88622283936e-05	33	0	1
trial 13	RRT	0.000142097473145	7	1052.07850472	0
trial 14	RRT	2.50339508057e-05	30	0	1
trial 15	RRT	4.81605529785e-05	29	0	1
trial 16	RRT	3.50475311279e-05	28	0	1
trial 17	RRT	0.000164985656738	21	886.419886483	0
trial 18	RRT	3.81469726562e-05	26	0	1
trial 19	RRT	4.19616699219e-05	27	0	1
trial 20	RRT	0.000118970870972	11	877.146175362	0
trial 21	RRT	3.40938568115e-05	25	0	1
trial 22	RRT	0.000123023986816	10	944.39404499	0
trial 23	RRT	0.0001380443573	12	885.015348014	0
trial 24	RRT	0.000148773193359	6	870.370275804	0
trial 25	RRT	4.52995300293e-05	24	0	1
trial 26	RRT	7.10487365723e-05	23	0	1
trial 27	RRT	0.000179767608643	20	1084.14476281	0
trial 28	RRT	0.00022029876709	14	1219.64821842	0
trial 29	RRT	3.09944152832e-05	22	0	1
trial 30	RRT	3.00407409668e-05	22	0	1
trial 31	RRT	3.19480895996e-05	21	0	1
trial 32	RRT	0.000132083892822	14	984.593671845	0
trial 33	RRT	3.50475311279e-05	20	0	1
trial 34	RRT	3.40938568115e-05	20	0	1
trial 35	RRT	5.31673431396e-05	20	0	1
trial 36	RRT	4.72068786621e-05	19	0	1
trial 37	RRT	2.98023223877e-05	19	0	1
trial 38	RRT	2.98023223877e-05	19	0	1
trial 39	RRT	3.19480895996e-05	19	0	1
trial 40	RRT	0.000220060348511	14	1262.62522614	0
trial 41	RRT	3.40938568115e-05	18	0	1
trial 42	RRT	3.48091125488e-05	18	0	1
